,nombre_autor,username_autor,texto_tw,id_tw,id_autor,fecha_creacion,num_retw,num_contestacion,num_likes,num_menciones
19,The Bridge,TheBridge_Tech,"Este jueves Job Market Place en @TheBridge_Tech con @spaingeneration La feria de empleo con el mejor talento de #marketingdigital @AccentureSpain, @Siliconhr1, ... participarán en busca del mejor talento. Si eres empresa y quieres participar 👉https://t.co/0n4iufzfmi https://t.co/A51YStbfjF",1518607234976161792,1162694149956603904,2022-04-25 15:05:53+00:00,0,0,0,0
20,Mujeres a Seguir,MujeresaSeguir,Mercedes Mac Pherson @Globant : 'Hay un desconocimiento grande del poder de transformación de la tecnología' #mujerytecnología @TheBridge_Tech https://t.co/OFDlmziC1y,1517423870483042304,734674933217931265,2022-04-22 08:43:37+00:00,0,0,2,0
21,Mujeres a Seguir,MujeresaSeguir,Sara Gómez @RainG 'La sociedad no sabe lo que hacemos los ingenieros y los tecnólogos' #mujerytecnología @TheBridge_Tech @Globant https://t.co/lYFyIZuW3J,1517421295373271041,734674933217931265,2022-04-22 08:33:23+00:00,1,0,5,0
22,Mujeres a Seguir,MujeresaSeguir,Comienza nuestra segunda mesa 'Cómo construir un futuro que nos representa'. Aquí te dejamos el enlace para seguirnos en streaming https://t.co/ABQkBBLKmT #mujerytecnología @Globant @TheBridge_Tech https://t.co/kApsKZ04SD,1517420242120683520,734674933217931265,2022-04-22 08:29:12+00:00,0,0,2,0
23,Mujeres a Seguir,MujeresaSeguir,"Carmen Artigas, secretaria de Estado de Digitalización e Inteligencia Artificial de Asuntos Económicos y Transformación Digital: 'Es nuestro momento. El momento de las mujeres' #mujerytecnología @Globant @TheBridge_Tech https://t.co/gLjyCQPBRH",1517419666938998784,734674933217931265,2022-04-22 08:26:55+00:00,3,0,5,0
24,Mujeres a Seguir,MujeresaSeguir,"'Nunca se progresa desde el miedo. Hay que arriesgarse disfrutando', Irene Cano @Meta #mujerytecnología @TheBridge_Tech @Globant https://t.co/yaoUnWJIs6",1517418437777240065,734674933217931265,2022-04-22 08:22:02+00:00,1,0,4,0
25,Mujeres a Seguir,MujeresaSeguir,"'Hay que tener una apertura de mente en los modelos educativos' María Rotondo @Telefonica 
Aquí te dejamos el enlace para seguirnos en streaming https://t.co/ABQkBBLKmT #mujerytecnología @Globant @TheBridge_Tech https://t.co/dB8tF3prJv",1517417898133884928,734674933217931265,2022-04-22 08:19:53+00:00,0,0,2,0
26,Mujeres a Seguir,MujeresaSeguir,"A día de hoy, el 41 % de las  investigaciones públicas las hacen mujeres. Descubre más datos en numerosas jornada @TheBridge_Tech #mujerytecnología 
https://t.co/bNRyoB4h6y https://t.co/ZBQ4299zQW",1517409914792075264,734674933217931265,2022-04-22 07:48:10+00:00,0,0,0,0
27,capgemini_es,Capgemini_ES,@MujeresaSeguir @Globant @TheBridge_Tech Qué gran panel!,1517396691443490816,15942584,2022-04-22 06:55:37+00:00,0,0,0,0
28,The Bridge,TheBridge_Tech,"¿Unimos #psicología, diseño #uxui y #realidadvirtual? La respuesta: SÍ! Te invitamos a la mesa redonda del 28 de abril en @TheBridge_Tech donde trataremos el diseño ux desde el punto de vista del tratamiento de las fobias a través de la #vr. Entradas 👉https://t.co/JGOpD7p2rO",1517147713254526978,1162694149956603904,2022-04-21 14:26:16+00:00,0,0,0,1
